osm_id,name,highway,st_astext
11492308,Pratt Road,residential,"LINESTRING(-69.631447 44.674012000496056,-69.6317229 44.67404240049608,-69.63202109999999 44.67410880049606,-69.6323369 44.67418860049606,-69.63265799999999 44.67429400049606,-69.632891 44.674419000496044,-69.633064 44.67458400049604,-69.633187 44.67477200049602,-69.633242 44.674973000496,-69.6332934 44.67515080049599,-69.63326719999999 44.67569140049596,-69.63324379999999 44.675847000495935,-69.6331813 44.676094100495924,-69.63304199999999 44.676310000495896,-69.632987 44.67651800049589,-69.632963 44.67686700049587,-69.63296999999999 44.677139000495835)"
11439987,Horseback Road,unclassified,"LINESTRING(-69.51729749999998 44.65170230049772,-69.5147919 44.652618700497676,-69.5121929 44.65355450049759,-69.51193239999999 44.65369260049759,-69.51171079999999 44.653843700497575,-69.51155199999998 44.654020000497574,-69.51143189999999 44.65423200049756,-69.5113812 44.65445120049752,-69.5113892 44.654658600497505,-69.51147479999999 44.65489470049749,-69.51162089999998 44.655121600497495,-69.5118685 44.65532900049747,-69.5123908 44.65573700049744,-69.51263229999999 44.65597440049741,-69.51292279999998 44.6563773004974,-69.51305459999999 44.65669550049736,-69.5131556 44.657097200497354,-69.5131704 44.65744830049731,-69.5131267 44.65797750049728,-69.51291479999999 44.6588801004972,-69.51276309999999 44.65979200049714,-69.51267919999998 44.6602408004971,-69.51258759999999 44.66056860049708,-69.5125479 44.66079340049706,-69.5125279 44.661083200497046,-69.5125638 44.66139280049702,-69.51260169999999 44.66153850049701,-69.51266260000001 44.66184630049698,-69.51277470000001 44.662681400496915,-69.5128498 44.66343940049686,-69.51288120000001 44.66380280049683,-69.5129019 44.66404200049682,-69.5130616 44.66533230049672,-69.5130616 44.66612770049666,-69.5131495 44.66721550049658,-69.5131854 44.667658600496544,-69.5133149 44.66808900049651,-69.51344100000001 44.668857200496454,-69.5136247 44.6694736004964,-69.51383240000001 44.670158100496366,-69.5140041 44.67053580049634,-69.5140617 44.67074280049631,-69.51402410000001 44.6709533004963,-69.5139642 44.67136230049627,-69.51397619999999 44.671612200496256,-69.514084 44.67200700049622,-69.5142917 44.67250120049618,-69.51430359999999 44.67269430049617,-69.5142198 44.67298400049616,-69.5140878 44.673182800496136,-69.5136367 44.6736997004961,-69.513498 44.67392380049608,-69.513453 44.67424780049607,-69.5134889 44.67446360049603,-69.5135738 44.67468480049602,-69.5138874 44.67554230049596,-69.5140663 44.675929100495935,-69.5141958 44.67614770049592,-69.51442999999999 44.67644220049589,-69.5145752 44.676681600495876,-69.51463109999999 44.67687760049586,-69.514622 44.67712970049584,-69.5145184 44.67828600049576,-69.51453789999998 44.67864780049572,-69.51456989999998 44.67885510049571,-69.5146478 44.679083000495694,-69.5147855 44.67934920049567,-69.5150611 44.67973260049565,-69.5152927 44.680079000495624,-69.5153636 44.680360500495595,-69.5153486 44.680928100495564,-69.5153007 44.681294400495524,-69.51522689999999 44.68159010049551,-69.51504579999998 44.682332900495446,-69.5150171 44.68261480049542,-69.51504909999998 44.682813600495415,-69.5150887 44.682941600495404,-69.51519639999998 44.68324720049538,-69.51545649999998 44.68372510049534,-69.5160057 44.684524600495294,-69.5162792 44.68498020049523,-69.5165161 44.68535910049521,-69.5168858 44.685830900495176,-69.517014 44.68606480049515,-69.5170939 44.68626930049516,-69.5171139 44.68650210049512,-69.5170246 44.686734500495106,-69.5165507 44.68741350049507,-69.5165188 44.68750440049506,-69.51648799999998 44.68764100049505,-69.5165148 44.68783950049503,-69.51654279999998 44.68798140049501,-69.51667059999998 44.688231300494984,-69.5169074 44.68864780049497,-69.5174014 44.689350000494905,-69.51748789999999 44.6895393004949,-69.51756909999999 44.68981280049488,-69.5175719 44.69004200049486,-69.5175212 44.69023580049485,-69.517423 44.690391000494834,-69.51727759999999 44.690599200494816,-69.51692219999998 44.69099670049479,-69.5167944 44.691212500494764,-69.5165308 44.69192230049472,-69.5161958 44.69274960049464,-69.5160635 44.69306930049463,-69.5160036 44.69331340049462,-69.5159637 44.693997600494555,-69.5159106 44.69422810049454,-69.5157121 44.69442350049453,-69.5155218 44.694557200494515,-69.5151929 44.694781200494496,-69.5150331 44.69494590049449,-69.51489949999998 44.69524350049447,-69.5148737 44.69567420049442,-69.51490929999999 44.69601950049441,-69.5150082 44.6963827004944,-69.5152425 44.69673420049434,-69.51587699999999 44.69760320049427,-69.5160803 44.69790970049426,-69.516197 44.69823170049424,-69.5163288 44.69874660049419,-69.5163213 44.69933570049415,-69.5161221 44.700175800494094,-69.5160943 44.70030060049407,-69.5160288 44.70061650049406,-69.5159327 44.70088750049403,-69.51584869999999 44.70108600049401,-69.5157459 44.70140400049398,-69.5157351 44.70154790049398,-69.515752 44.701718500493975,-69.5158231 44.701897900493954,-69.5159214 44.70204970049393,-69.51603769999998 44.70216340049393,-69.5161869 44.70226650049393,-69.51668109999999 44.702525400493904,-69.51715399999999 44.702864700493876,-69.5173701 44.70307740049385,-69.51748589999998 44.70321590049386,-69.5175819 44.703402600493824,-69.5176695 44.70370760049381,-69.517726 44.7039144004938,-69.5180162 44.70450180049376,-69.5182882 44.705453100493685,-69.51838109999998 44.70576500049365,-69.51841529999999 44.70601580049364,-69.5184039 44.706645000493594,-69.5183614 44.706929100493554,-69.51830769999998 44.70715790049355,-69.5180678 44.70763880049351,-69.5178531 44.70802690049347,-69.5177119 44.708253700493465,-69.5175396 44.70840220049345,-69.5173927 44.70850860049345,-69.5171499 44.70869520049343,-69.51693529999999 44.70892400049341,-69.5167856 44.709134800493395,-69.5166276 44.70937630049339,-69.5165004 44.70960640049335,-69.5164241 44.709843200493346,-69.51639879999999 44.71004960049332,-69.5164072 44.710722300493266,-69.5163987 44.710943000493245,-69.5163253 44.7115953004932,-69.51625659999999 44.711775100493185,-69.5161304 44.71198260049317,-69.51588 44.71228580049315,-69.51556 44.712655000493115,-69.5152258 44.7131370004931,-69.5150404 44.71327900049308,-69.51482289999998 44.71337330049306,-69.51419699999998 44.71361400049305,-69.5135979 44.713815500493034,-69.5132784 44.71394040049302,-69.51295619999999 44.71399850049302)"
334751237,Snowmobile Trail 42,path,"LINESTRING(-69.53248619999998 44.73025540049175,-69.5327759 44.7308542004917,-69.53290539999999 44.73142470049165,-69.53290539999999 44.73197670049161,-69.53290539999999 44.73256560049156,-69.5330868 44.7333569004915,-69.5333976 44.73451630049141,-69.53370849999999 44.73545470049133,-69.5344079 44.735951600491305,-69.5352368 44.736209200491274,-69.5365061 44.736338000491266,-69.5371278 44.73624600049128,-69.53767179999998 44.7359700004913,-69.53826760000001 44.735786000491316,-69.53912249999999 44.73567560049132,-69.5397442 44.73556510049133,-69.5407544 44.73541790049135,-69.54194599999998 44.73525230049134,-69.54293039999999 44.73523390049135,-69.5437075 44.73539950049134,-69.54417379999998 44.73584120049131,-69.54456239999999 44.73630120049127,-69.5451064 44.736687600491244,-69.5458835 44.73687160049122,-69.54710099999998 44.7371661004912,-69.5481113 44.73749730049118,-69.5496914 44.73779170049115,-69.55137519999998 44.737994100491136,-69.5526729 44.738032400491136,-69.5538585 44.738179600491115,-69.55516649999998 44.73812990049111,-69.5574087 44.73793080049114,-69.55897360000002 44.73788100049115,-69.5602582 44.73759900049116,-69.5618464 44.73713440049121,-69.5646492 44.73628830049126,-69.56710159999999 44.73550850049133,-69.5689467 44.735408900491336,-69.5711656 44.735309400491346,-69.57305740000001 44.73520980049135,-69.57469239999999 44.735126900491366,-69.57739749999999 44.73528340049135,-69.577561 44.73428790049143,-69.5777011 44.7332426004915,-69.577958 44.7319982004916,-69.5781799 44.731027600491686,-69.5784602 44.73000710049177,-69.578542 44.72932680049182,-69.5784952 44.72845560049188,-69.5782734 44.727866500491935,-69.5778179 44.727036900491996,-69.57736250000002 44.72632330049204,-69.5767202 44.72562640049212,-69.5766851 44.724954300492165,-69.5766968 44.724008400492224,-69.5766851 44.7231123004923,-69.57658 44.72198380049238,-69.5764749 44.721004700492486,-69.5764048 44.71953590049258,-69.5763465 44.71791780049272,-69.5764048 44.71618340049284,-69.5760662 44.7155361004929,-69.5757042 44.71510460049293,-69.5753421 44.71473120049296,-69.5751786 44.714108800493015,-69.5751786 44.71346970049306,-69.57516699999998 44.7128473004931,-69.57521369999999 44.71124560049323,-69.5752487 44.709892800493336,-69.57526040000002 44.70904630049339,-69.57535379999999 44.7076519004935,-69.5755056 44.70673060049357,-69.57582089999998 44.70567650049366,-69.57654499999998 44.70356830049382,-69.57739749999999 44.702447700493906,-69.5784135 44.70116950049401,-69.57933609999999 44.70008210049409,-69.5796206 44.699676400494134,-69.57993169999999 44.699318400494164,-69.5804922 44.69828080049424,-69.5808776 44.69688620049434,-69.58094769999998 44.695865100494416,-69.58094769999998 44.69469460049449,-69.58094769999998 44.693507400494596,-69.58134469999999 44.69268560049464,-69.58206879999999 44.69186370049472,-69.58314309999999 44.69085080049479,-69.5847898 44.690028900494866,-69.5864714 44.6895142004949,-69.5881648 44.68839330049499,-69.5889355 44.68752160049506,-69.58928590000001 44.68630110049514,-69.5893793 44.6856119004952,-69.5896871 44.68542050049521,-69.59046539999999 44.68491450049524,-69.5922288 44.68431670049529,-69.5946929 44.6830131004954,-69.5965614 44.682257500495446,-69.5980211 44.6817343004955,-69.5992824 44.68131090049551,-69.60058659999999 44.680913500495556)"
11444634,Goodrich Road,residential,"LINESTRING(-69.5335006 44.68451560049528,-69.544395 44.68604800049516,-69.545547 44.68619320049515,-69.5500893 44.68623170049516,-69.5509853 44.68628440049514,-69.56021669999998 44.687550700495045,-69.561056 44.68763430049504)"
11436548,Battle Ridge Road,residential,"LINESTRING(-69.5780159 44.663654600496855,-69.57567099999999 44.66494300049676,-69.57439 44.6655840004967,-69.571186 44.66757300049655,-69.570542 44.668617000496475,-69.56964619999998 44.67007310049637,-69.568144 44.672515000496176,-69.56742700000001 44.6736810004961,-69.56657389999998 44.675089100495995,-69.56628499999998 44.67553100049595,-69.56599600000001 44.67589700049593,-69.564554 44.67838900049575,-69.56118189999998 44.68734600049507,-69.561056 44.68763430049504,-69.56096699999999 44.687947000495036,-69.56059199999999 44.689159000494925,-69.560072 44.692563000494665,-69.559069 44.700192000494084,-69.558652 44.704599000493744,-69.55777999999998 44.71084100049327)"
278695272,Snowmobile Trail 58,path,"LINESTRING(-69.5796206 44.699676400494134,-69.5780323 44.699062100494174,-69.5760938 44.69864700049419,-69.5742486 44.697999600494256,-69.57209980000002 44.69706980049431,-69.5703481 44.696405700494374,-69.5678723 44.69540950049445,-69.5662841 44.694828400494494,-69.56548999999998 44.69391530049457,-69.5648827 44.69263680049466,-69.56446229999999 44.690993000494785,-69.56373829999998 44.68968120049489,-69.5615895 44.687539200495046,-69.56118189999998 44.68734600049507,-69.5599078 44.686742100495096,-69.55827289999999 44.68606130049516,-69.55682479999999 44.68544690049521,-69.5555168 44.684749400495264,-69.55395200000001 44.683902500495336)"
11438251,Gustafson Road,residential,"LINESTRING(-69.5889255 44.68472720049527,-69.588658 44.68494800049523,-69.587452 44.6894950004949,-69.58581 44.69569500049443,-69.585746 44.6959690004944,-69.58565 44.69601500049441,-69.584049 44.701320000494,-69.58409739999999 44.701861700493964,-69.584201 44.70203890049395)"
11438302,Burns Drive,track,"LINESTRING(-69.60561159999999 44.692696700494665,-69.605688 44.693082200494636,-69.60551799999999 44.69341900049459,-69.6057427 44.69419800049454,-69.60706829999998 44.69499770049448,-69.6089995 44.69589000049441,-69.6102333 44.69614550049439)"
11439642,French Settlement Road,residential,"LINESTRING(-69.59868589999999 44.69527040049445,-69.5987158 44.69560010049444,-69.59873 44.69790900049426,-69.598762 44.698664000494205,-69.59873099999999 44.699945000494104,-69.599563 44.702511000493914,-69.600377 44.705022000493706)"
255487956,Snowmobile Trail 36,path,"LINESTRING(-69.65933619999998 44.687070100495085,-69.6595003 44.68752700049506,-69.659672 44.687763400495044,-69.66029419999998 44.68821350049501,-69.6610206 44.688847300494956,-69.661439 44.68920580049492,-69.6622791 44.68960170049489,-69.6629228 44.68977710049488,-69.6628491 44.69062570049481,-69.6628491 44.69123970049477,-69.66350339999998 44.69269090049466,-69.664053 44.69395610049456,-69.6646549 44.69520260049447,-69.66499519999999 44.69596530049441,-69.66494280000002 44.696263000494376,-69.6641053 44.696802500494336,-69.6632417 44.697211800494316,-69.6628491 44.69760250049429,-69.6618284 44.69782570049426,-69.6614097 44.69799310049425,-69.66117409999998 44.69836520049422,-69.6610433 44.69864420049421,-69.6610171 44.69910930049417,-69.6613835 44.69950000049413,-69.6619854 44.699779000494125,-69.6623257 44.70031850049407,-69.6628491 44.70059750049404,-69.6633725 44.70054170049406,-69.66368459999998 44.70038590049407,-69.66419949999998 44.70070610049404,-69.66444559999998 44.701323000494,-69.66475289999998 44.70183250049396,-69.66457729999999 44.70303830049386,-69.6647073 44.70346230049383,-69.6652569 44.70374130049382,-69.666042 44.70379710049381,-69.6664346 44.70396450049378,-69.6664869 44.704299300493766,-69.6663299 44.70530380049368,-69.666801 44.70619660049362,-69.6663822 44.706977800493554,-69.66687949999998 44.707331200493535,-69.6675338 44.70800090049349,-69.66776929999999 44.70839150049344,-69.6682404 44.709154100493386,-69.6686068 44.70961900049336,-69.6690779 44.71038160049329,-69.6692611 44.71101400049325,-69.6693658 44.712241500493164,-69.6694443 44.71322720049307,-69.669549 44.71447330049298,-69.6695228 44.71514290049292,-69.6693135 44.715645000492884,-69.6688441 44.716020000492854,-69.66725729999999 44.71648210049282,-69.6667069 44.71664300049282,-69.66614150000001 44.71687850049278,-69.6658164 44.717077500492785,-69.66561249999998 44.71715380049276,-69.66512969999998 44.71729100049277,-69.6645826 44.71736720049276,-69.6635558 44.71722160049277,-69.6628445 44.71716900049276,-69.66232199999999 44.71740460049276,-69.66236489999999 44.717808600492724,-69.6629089 44.71845740049266,-69.6632018 44.718845500492634,-69.6634914 44.719318100492615,-69.6640998 44.71986010049255,-69.6645214 44.720301500492525,-69.6648937 44.720599600492505,-69.6652188 44.72088850049248,-69.66532609999999 44.72123160049246,-69.6654119 44.72162800049243,-69.66586999999998 44.722101400492384,-69.66631310000001 44.72245130049236,-69.6664422 44.72260360049235,-69.6663627 44.723127500492296,-69.6664606 44.72352250049227,-69.6669719 44.72376250049226,-69.6670641 44.72424270049222,-69.667032 44.724532400492194,-69.6671822 44.72464670049219,-69.66709539999998 44.72541930049213,-69.6672657 44.72577070049209,-69.66767229999999 44.725993900492085,-69.6683103 44.726398500492046,-69.6690264 44.72657550049204,-69.6695425 44.726735300492024,-69.6694781 44.72714690049199,-69.66934939999999 44.72758900049196,-69.669285 44.72804640049192,-69.669285 44.72841220049189,-69.6693065 44.72888480049186,-69.6693676 44.72921330049182,-69.6695318 44.72940310049181,-69.66992869999999 44.7294108004918,-69.6707549 44.72931930049181,-69.6711808 44.72919050049184,-69.6716851 44.729053300491834,-69.6723073 44.728908500491855,-69.6734263 44.72864850049187,-69.67456040000002 44.72836730049189,-69.6751966 44.7282598004919,-69.67562579999999 44.72828270049191,-69.6760946 44.72845110049188,-69.676395 44.72867980049187,-69.6768059 44.72912870049183,-69.67717069999999 44.72957080049179,-69.6775215 44.72997560049176,-69.6779829 44.73046340049172,-69.6781572 44.730580900491724,-69.67827579999998 44.730660800491705,-69.67862659999999 44.730966400491695,-69.6789699 44.73121030049168,-69.67917699999998 44.73144580049164,-69.67926279999999 44.73160590049163,-69.6794023 44.73184980049162,-69.6794956 44.73207920049161,-69.6795965 44.73238520049158,-69.6798207 44.732314700491585,-69.6801748 44.73222330049159,-69.68059319999999 44.7320937004916,-69.68112639999998 44.73199540049161,-69.6814483 44.73188870049162,-69.6815588 44.73170500049164,-69.6817412 44.731537300491645,-69.68203089999999 44.73158300049164,-69.6822669 44.731651600491645,-69.6828892 44.732025100491605,-69.6831145 44.7322385004916,-69.68336119999998 44.73266530049155,-69.6834149 44.73313030049152,-69.68347929999999 44.73364850049148,-69.68357579999999 44.734113500491425,-69.683608 44.73445640049141,-69.68362949999998 44.734845100491384,-69.68362949999998 44.73518050049135,-69.6837046 44.735531000491335,-69.6837797 44.735881600491304,-69.6838977 44.73599590049128,-69.6841874 44.73611790049129,-69.6845167 44.7359815004913,-69.6849491 44.73566060049132,-69.6853643 44.735409900491334,-69.68572159999998 44.73513470049136,-69.68618289999999 44.734921300491386,-69.6866625 44.7346249004914,-69.6871378 44.73430400049142,-69.6873277 44.733877900491464,-69.6874243 44.73357310049149,-69.68782440000001 44.733419900491484,-69.68840379999999 44.733412300491494,-69.6891194 44.733359700491505,-69.68963759999998 44.73301590049153,-69.6898919 44.732673700491546,-69.6900668 44.73223090049158,-69.69018159999999 44.73191920049161,-69.6903886 44.731750700491624,-69.6906032 44.73161350049163,-69.69080379999998 44.73160670049164,-69.69105059999998 44.73170580049163,-69.6912899 44.731796500491626,-69.6915795 44.7318650004916,-69.69189069999999 44.73177360049162,-69.6921771 44.73160670049164,-69.69283159999999 44.73103500049169,-69.6932178 44.730570100491725,-69.6935719 44.73009750049175,-69.6942478 44.7296631004918,-69.69467689999999 44.729358200491816,-69.6952241 44.72904570049184,-69.69530259999999 44.72852600049188,-69.6950614 44.72805180049191,-69.6952137 44.72773390049194,-69.6957093 44.72737300049199,-69.69629099999999 44.727283200491975,-69.69701429999999 44.72737880049198,-69.69778640000001 44.72762110049195,-69.6982935 44.72793270049191,-69.698886 44.72815980049191,-69.6992726 44.728527200491875,-69.69950809999999 44.72870950049187,-69.6995478 44.72910660049184,-69.69977640000002 44.72964700049179,-69.69978709999998 44.73003580049176,-69.69984819999999 44.73045580049173,-69.69966909999998 44.730935200491686,-69.699433 44.731247700491664,-69.6993365 44.73172020049162,-69.6993225 44.7321250004916,-69.7016754 44.7359274004913,-69.70187919999998 44.73612550049128,-69.702126 44.736407500491254,-69.7024478 44.736773300491244,-69.70264099999999 44.7371086004912,-69.7031267 44.737289100491196,-69.7036766 44.737772000491155,-69.70425239999999 44.73829250049112,-69.7048113 44.738864300491066,-69.7047292 44.73930340049102,-69.7043826 44.739757800491,-69.7047224 44.74011130049097,-69.7049047 44.74038570049094,-69.7051944 44.740682900490924,-69.7054305 44.7409648004909,-69.70552699999999 44.74126960049088,-69.70552699999999 44.74153640049085,-69.7056021 44.741909800490824,-69.7055095 44.742030600490814,-69.7061891 44.74234510049079,-69.7072621 44.74282840049076,-69.7081258 44.743107200490726,-69.7082828 44.7434232004907,-69.7091726 44.743869300490665,-69.71050739999998 44.745003200490586,-69.7110095 44.74529320049056,-69.7119536 44.745476100490535,-69.71279039999999 44.74562850049053,-69.71349749999999 44.74570660049053,-69.7142249 44.74573590049052,-69.7148793 44.74570540049052,-69.7151722 44.74564370049053,-69.7154512 44.74561320049053,-69.71583739999998 44.745438000490545,-69.7162344 44.745209400490566,-69.7165884 44.74499600049059,-69.7168781 44.744836000490594,-69.7172 44.7448131004906,-69.7174789 44.744942700490576,-69.71765059999998 44.74510270049057,-69.71786519999999 44.74539990049055,-69.7180047 44.74565130049052,-69.71813339999999 44.7458342004905,-69.71813339999999 44.746062800490485,-69.7180798 44.74633710049047,-69.7180154 44.74653530049046,-69.7179692 44.74667320049045,-69.71789739999998 44.74679430049043,-69.7178941 44.74688650049043,-69.7180905 44.746969600490424,-69.7183158 44.74704580049042,-69.718584 44.74712960049042,-69.7187489 44.747230500490396,-69.71897020000002 44.74736580049039,-69.7203972 44.74866120049028,-69.7208263 44.74908030049026,-69.7210484 44.74930200049023,-69.72129839999998 44.74938500049023,-69.72159879999998 44.74937740049023,-69.7219743 44.74924030049024,-69.7224357 44.74901930049026,-69.7229185 44.74882880049027,-69.7236126 44.74860100049029,-69.7242703 44.7484250004903,-69.7251898 44.74830380049031,-69.72597299999998 44.748265700490315,-69.7286477 44.748165900490335,-69.7288622 44.74818110049032,-69.7293236 44.748249700490334,-69.7295553 44.7483193004903,-69.7297967 44.748456500490306,-69.73003169999998 44.74857330049029,-69.73035459999998 44.74869650049029,-69.7305692 44.74874600049028,-69.7309168 44.748767600490275,-69.7312119 44.74874850049028,-69.73143179999998 44.748699000490284,-69.7316571 44.7485771004903,-69.7318073 44.7484932004903,-69.7320112 44.74839040049031,-69.7322751 44.748323100490296,-69.7325326 44.74835360049031,-69.7327686 44.748433600490294,-69.7329296 44.7484831004903,-69.7330787 44.7485466004903,-69.7332192 44.74857460049029,-69.7334435 44.74864180049029,-69.7336259 44.748687500490284,-69.7337975 44.748744700490285,-69.73397559999998 44.74878790049027,-69.73421589999998 44.748813300490276,-69.7344949 44.74880180049027,-69.73481139999998 44.74880180049027,-69.73507 44.74879170049028,-69.7354444 44.748767600490275,-69.73579229999999 44.74868410049028)"
